11,11,8
-5,-5,-3.5,7.889866919,-5,-5
-4,-5,-3.5,7.29725976,-4,-5
-3,-5,-3.5,6.800735254,-3,-5
-2,-5,-3.5,6.422616289,-2,-5
-1,-5,-3.5,6.184658438,-1,-5
0,-5,-3.5,6.103277808,0,-5
1,-5,-3.5,6.184658438,1,-5
2,-5,-3.5,6.422616289,2,-5
3,-5,-3.5,6.800735254,3,-5
4,-5,-3.5,7.29725976,4,-5
5,-5,-3.5,7.889866919,5,-5
-5,-4,-3.5,7.29725976,-5,-4
-4,-4,-3.5,6.652067348,-4,-4
-3,-4,-3.5,6.103277808,-3,-4
-2,-4,-3.5,5.678908346,-2,-4
-1,-4,-3.5,5.408326913,-1,-4
0,-4,-3.5,5.315072906,0,-4
1,-4,-3.5,5.408326913,1,-4
2,-4,-3.5,5.678908346,2,-4
3,-4,-3.5,6.103277808,3,-4
4,-4,-3.5,6.652067348,4,-4
5,-4,-3.5,7.29725976,5,-4
-5,-3,-3.5,6.800735254,-5,-3
-4,-3,-3.5,6.103277808,-4,-3
-3,-3,-3.5,5.5,-3,-3
-2,-3,-3.5,5.024937811,-2,-3
-1,-3,-3.5,4.716990566,-1,-3
0,-3,-3.5,4.609772229,0,-3
1,-3,-3.5,4.716990566,1,-3
2,-3,-3.5,5.024937811,2,-3
3,-3,-3.5,5.5,3,-3
4,-3,-3.5,6.103277808,4,-3
5,-3,-3.5,6.800735254,5,-3
-5,-2,-3.5,6.422616289,-5,-2
-4,-2,-3.5,5.678908346,-4,-2
-3,-2,-3.5,5.024937811,-3,-2
-2,-2,-3.5,4.5,-2,-2
-1,-2,-3.5,4.153311931,-1,-2
0,-2,-3.5,4.031128874,0,-2
1,-2,-3.5,4.153311931,1,-2
2,-2,-3.5,4.5,2,-2
3,-2,-3.5,5.024937811,3,-2
4,-2,-3.5,5.678908346,4,-2
5,-2,-3.5,6.422616289,5,-2
-5,-1,-3.5,6.184658438,-5,-1
-4,-1,-3.5,5.408326913,-4,-1
-3,-1,-3.5,4.716990566,-3,-1
-2,-1,-3.5,4.153311931,-2,-1
-1,-1,-3.5,3.774917218,-1,-1
0,-1,-3.5,3.640054945,0,-1
1,-1,-3.5,3.774917218,1,-1
2,-1,-3.5,4.153311931,2,-1
3,-1,-3.5,4.716990566,3,-1
4,-1,-3.5,5.408326913,4,-1
5,-1,-3.5,6.184658438,5,-1
-5,0,-3.5,6.103277808,-5,0
-4,0,-3.5,5.315072906,-4,0
-3,0,-3.5,4.609772229,-3,0
-2,0,-3.5,4.031128874,-2,0
-1,0,-3.5,3.640054945,-1,0
0,0,-3.5,3.5,0,0
1,0,-3.5,3.640054945,1,0
2,0,-3.5,4.031128874,2,0
3,0,-3.5,4.609772229,3,0
4,0,-3.5,5.315072906,4,0
5,0,-3.5,6.103277808,5,0
-5,1,-3.5,6.184658438,-5,1
-4,1,-3.5,5.408326913,-4,1
-3,1,-3.5,4.716990566,-3,1
-2,1,-3.5,4.153311931,-2,1
-1,1,-3.5,3.774917218,-1,1
0,1,-3.5,3.640054945,0,1
1,1,-3.5,3.774917218,1,1
2,1,-3.5,4.153311931,2,1
3,1,-3.5,4.716990566,3,1
4,1,-3.5,5.408326913,4,1
5,1,-3.5,6.184658438,5,1
-5,2,-3.5,6.422616289,-5,2
-4,2,-3.5,5.678908346,-4,2
-3,2,-3.5,5.024937811,-3,2
-2,2,-3.5,4.5,-2,2
-1,2,-3.5,4.153311931,-1,2
0,2,-3.5,4.031128874,0,2
1,2,-3.5,4.153311931,1,2
2,2,-3.5,4.5,2,2
3,2,-3.5,5.024937811,3,2
4,2,-3.5,5.678908346,4,2
5,2,-3.5,6.422616289,5,2
-5,3,-3.5,6.800735254,-5,3
-4,3,-3.5,6.103277808,-4,3
-3,3,-3.5,5.5,-3,3
-2,3,-3.5,5.024937811,-2,3
-1,3,-3.5,4.716990566,-1,3
0,3,-3.5,4.609772229,0,3
1,3,-3.5,4.716990566,1,3
2,3,-3.5,5.024937811,2,3
3,3,-3.5,5.5,3,3
4,3,-3.5,6.103277808,4,3
5,3,-3.5,6.800735254,5,3
-5,4,-3.5,7.29725976,-5,4
-4,4,-3.5,6.652067348,-4,4
-3,4,-3.5,6.103277808,-3,4
-2,4,-3.5,5.678908346,-2,4
-1,4,-3.5,5.408326913,-1,4
0,4,-3.5,5.315072906,0,4
1,4,-3.5,5.408326913,1,4
2,4,-3.5,5.678908346,2,4
3,4,-3.5,6.103277808,3,4
4,4,-3.5,6.652067348,4,4
5,4,-3.5,7.29725976,5,4
-5,5,-3.5,7.889866919,-5,5
-4,5,-3.5,7.29725976,-4,5
-3,5,-3.5,6.800735254,-3,5
-2,5,-3.5,6.422616289,-2,5
-1,5,-3.5,6.184658438,-1,5
0,5,-3.5,6.103277808,0,5
1,5,-3.5,6.184658438,1,5
2,5,-3.5,6.422616289,2,5
3,5,-3.5,6.800735254,3,5
4,5,-3.5,7.29725976,4,5
5,5,-3.5,7.889866919,5,5
-5,-5,-2.5,7.5,-5,-5
-4,-5,-2.5,6.873863542,-4,-5
-3,-5,-2.5,6.34428877,-3,-5
-2,-5,-2.5,5.937171044,-2,-5
-1,-5,-2.5,5.678908346,-1,-5
0,-5,-2.5,5.590169944,0,-5
1,-5,-2.5,5.678908346,1,-5
2,-5,-2.5,5.937171044,2,-5
3,-5,-2.5,6.34428877,3,-5
4,-5,-2.5,6.873863542,4,-5
5,-5,-2.5,7.5,5,-5
-5,-4,-2.5,6.873863542,-5,-4
-4,-4,-2.5,6.184658438,-4,-4
-3,-4,-2.5,5.590169944,-3,-4
-2,-4,-2.5,5.123475383,-2,-4
-1,-4,-2.5,4.82182538,-1,-4
0,-4,-2.5,4.716990566,0,-4
1,-4,-2.5,4.82182538,1,-4
2,-4,-2.5,5.123475383,2,-4
3,-4,-2.5,5.590169944,3,-4
4,-4,-2.5,6.184658438,4,-4
5,-4,-2.5,6.873863542,5,-4
-5,-3,-2.5,6.34428877,-5,-3
-4,-3,-2.5,5.590169944,-4,-3
-3,-3,-2.5,4.924428901,-3,-3
-2,-3,-2.5,4.387482194,-2,-3
-1,-3,-2.5,4.031128874,-1,-3
0,-3,-2.5,3.905124838,0,-3
1,-3,-2.5,4.031128874,1,-3
2,-3,-2.5,4.387482194,2,-3
3,-3,-2.5,4.924428901,3,-3
4,-3,-2.5,5.590169944,4,-3
5,-3,-2.5,6.34428877,5,-3
-5,-2,-2.5,5.937171044,-5,-2
-4,-2,-2.5,5.123475383,-4,-2
-3,-2,-2.5,4.387482194,-3,-2
-2,-2,-2.5,3.774917218,-2,-2
-1,-2,-2.5,3.354101966,-1,-2
0,-2,-2.5,3.201562119,0,-2
1,-2,-2.5,3.354101966,1,-2
2,-2,-2.5,3.774917218,2,-2
3,-2,-2.5,4.387482194,3,-2
4,-2,-2.5,5.123475383,4,-2
5,-2,-2.5,5.937171044,5,-2
-5,-1,-2.5,5.678908346,-5,-1
-4,-1,-2.5,4.82182538,-4,-1
-3,-1,-2.5,4.031128874,-3,-1
-2,-1,-2.5,3.354101966,-2,-1
-1,-1,-2.5,2.872281323,-1,-1
0,-1,-2.5,2.692582404,0,-1
1,-1,-2.5,2.872281323,1,-1
2,-1,-2.5,3.354101966,2,-1
3,-1,-2.5,4.031128874,3,-1
4,-1,-2.5,4.82182538,4,-1
